label,time_s,polymerization_rate,efficiency,particle_radius_m,thiele_modulus,polymer_mass_g
kp=250,11563.770918061204,436.01637878474526,0.9999984854411686,5.355038570639874e-06,0.0015887877190599309,7.396564826908494e-10
kp=250,11564.770984732317,435.8855849626567,0.9999984858973439,5.355055782024198e-06,0.0015885468492620426,7.396636153276357e-10
kp=250,11565.771051403428,435.7548303775935,0.9999984863769678,5.355072988134958e-06,0.001588306016771989,7.396707458248124e-10
kp=250,11566.77111807454,435.6241150179759,0.9999984868323837,5.355090188973806e-06,0.001588065221583622,7.396778741830214e-10
kp=250,11567.77118474565,435.4934388722067,0.9999984872880223,5.355107384542391e-06,0.001587824463690795,7.396850004029045e-10
kp=250,11568.771251416762,435.3628019391592,0.9999984877442301,5.355124574842361e-06,0.0015875837430873623,7.396921244851031e-10
kp=250,11569.771318087873,435.23220418623504,0.9999984882013092,5.3551417598753655e-06,0.0015873430597671786,7.396992464302585e-10
kp=250,11570.771384758984,435.10164559129487,0.9999984886836205,5.355158939643052e-06,0.001587102413724101,7.397063662390116e-10
kp=250,11571.771451430095,434.9711261846296,0.9999984890949367,5.355176114147068e-06,0.0015868618049519876,7.397134839120034e-10
kp=250,11572.771518101206,434.8406459126029,0.9999984895559686,5.3551932833890595e-06,0.0015866212334446968,7.397205994498743e-10
kp=250,11573.77158477232,434.7102047844974,0.99999849001862,5.355210447370673e-06,0.0015863806991960893,7.39727712853265e-10
kp=250,11574.77165144343,434.57980279909924,0.9999984904829663,5.355227606093555e-06,0.0015861402022000265,7.39734824122816e-10
kp=250,11575.771718114542,434.4494399236918,0.999998490949036,5.355244759559351e-06,0.0015858997424503705,7.397419332591671e-10
kp=250,11576.771784785653,434.31911615702643,0.9999984914168116,5.355261907769705e-06,0.0015856593199409853,7.397490402629584e-10
kp=250,11577.771851456764,434.18883146634204,0.9999984918620474,5.355279050726261e-06,0.001585418934665736,7.397561451348292e-10
kp=250,11578.771918127875,434.05858587135975,0.9999984923087953,5.355296188430662e-06,0.001585178586618488,7.397632478754194e-10
kp=250,11579.771984798987,433.9283793602918,0.9999984927811049,5.3553133208845525e-06,0.00158493827579311,7.397703484853685e-10
kp=250,11580.772051470098,433.79821188981924,0.9999984932303774,5.355330448089575e-06,0.001584698002183469,7.397774469653154e-10
kp=250,11581.772118141209,433.6680834586145,0.999998493680562,5.35534757004737e-06,0.001584457765783435,7.397845433158987e-10
kp=250,11582.772184812322,433.53799407584796,0.9999984941556007,5.35536468675958e-06,0.0015842175665868792,7.397916375377576e-10
kp=250,11583.772251483433,433.40794371915655,0.9999984946066888,5.355381798227847e-06,0.001583977404587674,7.397987296315305e-10
kp=250,11584.772318154544,433.27793236615634,0.9999984950576719,5.355398904453809e-06,0.001583737279779691,7.398058195978559e-10
kp=250,11585.772384825656,433.14796000494965,0.9999984954838417,5.355416005439106e-06,0.0015834971921568066,7.398129074373716e-10
kp=250,11586.772451496767,433.0180266551707,0.9999984960061018,5.35543310118538e-06,0.0015832571417128956,7.398199931507162e-10
kp=250,11587.772518167878,432.8881322628405,0.9999984964297115,5.355450191694267e-06,0.001583017128441834,7.398270767385269e-10
kp=250,11588.77258483899,432.75827684756314,0.9999984968754879,5.3554672769674074e-06,0.0015827771523375007,7.398341582014417e-10
kp=250,11589.7726515101,432.6284603763486,0.999998497367163,5.355484357006438e-06,0.0015825372133937748,7.398412375400979e-10
kp=250,11590.772718181212,432.49868285826216,0.9999984977825037,5.355501431812995e-06,0.0015822973116045359,7.398483147551327e-10
kp=250,11591.772784852325,432.36894424975037,0.9999984982423875,5.355518501388717e-06,0.0015820574469636657,7.39855389847183e-10
kp=250,11592.772851523436,432.2392445808977,0.9999984986974233,5.355535565735239e-06,0.0015818176194650473,7.39862462816886e-10
kp=250,11593.772918194547,432.1095838081126,0.9999984991468055,5.355552624854196e-06,0.0015815778291025642,7.39869533664878e-10
kp=250,11594.772984865658,431.9799619404081,0.999998499614051,5.355569678747226e-06,0.001581338075870102,7.398766023917957e-10
kp=250,11595.77305153677,431.8503789552051,0.9999985000495292,5.35558672741596e-06,0.0015810983597615456,7.398836689982754e-10
kp=250,11596.77311820788,431.72083481936994,0.9999985005254403,5.355603770862033e-06,0.0015808586807707827,7.398907334849528e-10
kp=250,11597.773184878992,431.591329552403,0.9999985009676382,5.355620809087079e-06,0.0015806190388917031,7.39897795852464e-10
kp=250,11598.773251550103,431.46186314220597,0.9999985014482959,5.3556378420927305e-06,0.0015803794341181956,7.399048561014447e-10
kp=250,11599.773318221216,431.3324355766632,0.9999985018931096,5.35565486988062e-06,0.001580139866444151,7.399119142325306e-10
kp=250,11600.773384892327,431.2030468225665,0.9999985023497824,5.35567189245238e-06,0.001579900335863462,7.399189702463567e-10
kp=250,11601.773451563438,431.0736968782972,0.9999985027927147,5.355688909809642e-06,0.001579660842370021,7.399260241435583e-10
kp=250,11602.77351823455,430.94438574222653,0.9999985032451327,5.355705921954035e-06,0.0015794213859577234,7.399330759247702e-10
kp=250,11603.77358490566,430.8151134021722,0.999998503705786,5.355722928887192e-06,0.001579181966620464,7.399401255906274e-10
kp=250,11604.773651576772,430.6858798248481,0.9999985041488995,5.35573993061074e-06,0.0015789425843521403,7.399471731417641e-10
kp=250,11605.773718247883,430.55668504021224,0.9999985045975858,5.35575692712631e-06,0.0015787032391466498,7.399542185788152e-10
kp=250,11606.773784918994,430.4275289727595,0.9999985050749612,5.355773918435529e-06,0.0015784639309978918,7.399612619024141e-10
kp=250,11607.773851590106,430.29841167351634,0.999998505481552,5.355790904540028e-06,0.0015782246598997664,7.399683031131952e-10
kp=250,11608.773918261219,430.1693331196787,0.999998505987461,5.355807885441432e-06,0.0015779854258461746,7.399753422117926e-10
kp=250,11609.77398493233,430.04029324620683,0.9999985064195145,5.355824861141369e-06,0.0015777462288310206,7.399823791988393e-10
kp=250,11610.774051603441,429.91129211466296,0.9999985068987739,5.355841831641466e-06,0.0015775070688482076,7.399894140749691e-10
kp=250,11611.774118274552,429.7823296705252,0.9999985073254319,5.355858796943349e-06,0.00157726794589164,7.399964468408152e-10
kp=250,11612.774184945663,429.6534059120155,0.9999985077960244,5.3558757570486424e-06,0.0015770288599552243,7.400034774970105e-10
kp=250,11613.774251616775,429.52452083734516,0.9999985082351374,5.355892711958973e-06,0.0015767898110328683,7.400105060441881e-10
kp=250,11614.774318287886,429.3956744024737,0.9999985086901467,5.355909661675964e-06,0.0015765507991184799,7.400175324829803e-10
kp=250,11615.774384958997,429.2668666266981,0.9999985091346504,5.355926606201239e-06,0.001576311824205969,7.400245568140195e-10
kp=250,11616.774451630108,429.1380974976253,0.9999985096160015,5.3559435455364214e-06,0.0015760728862892477,7.400315790379384e-10
kp=250,11617.774518301221,429.00936699228214,0.9999985100338332,5.355960479683136e-06,0.0015758339853622254,7.400385991553688e-10
kp=250,11618.774584972332,428.8806750876719,0.9999985104846553,5.3559774086430025e-06,0.0015755951214188172,7.400456171669425e-10
kp=250,11619.774651643444,428.7520218136164,0.9999985109418571,5.355994332417644e-06,0.0015753562944529381,7.400526330732915e-10
kp=250,11620.774718314555,428.62340712595665,0.9999985114034005,5.356011251008683e-06,0.001575117504458502,7.400596468750473e-10
kp=250,11621.774784985666,428.4948310016405,0.999998511867194,5.356028164417738e-06,0.0015748787514294272,7.400666585728409e-10
kp=250,11622.774851656777,428.3662934598874,0.9999985122817286,5.356045072646431e-06,0.0015746400353596304,7.400736681673036e-10
kp=250,11623.774918327888,428.2377944670433,0.9999985127682238,5.356061975696381e-06,0.001574401356243031,7.400806756590663e-10
kp=250,11624.774984999,428.10933403173226,0.9999985132010097,5.3560788735692055e-06,0.0015741627140735495,7.400876810487598e-10
kp=250,11625.775051670113,427.9809121202597,0.999998513627165,5.356095766266525e-06,0.0015739241088451067,7.400946843370147e-10
kp=250,11626.775118341224,427.85252873064314,0.999998514118535,5.3561126537899585e-06,0.0015736855405516265,7.401016855244612e-10
kp=250,11627.775185012335,427.72418388205296,0.9999985145491335,5.356129536141122e-06,0.001573447009187032,7.401086846117299e-10
kp=250,11628.775251683446,427.59587749841126,0.9999985150154606,5.356146413321634e-06,0.0015732085147452475,7.401156815994503e-10
