n,M_g_per_mol,weight_fraction,Mn,Mw,PDI
91,2552.55,1.273516534264354e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
92,2580.6,1.2874854654965553e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
93,2608.65,1.3014538373374724e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
94,2636.7000000000003,1.3154216498038961e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
95,2664.75,1.3293889029126076e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
96,2692.8,1.3433555966804173e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
97,2720.85,1.3573217311240895e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
98,2748.9,1.371287306260436e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
99,2776.9500000000003,1.3852523221062236e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
100,2805.0,1.3992167786782516e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
101,2833.05,1.4131806759933153e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
102,2861.1,1.4271440140681845e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
103,2889.15,1.441106792919652e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
104,2917.2000000000003,1.4550690125645113e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
105,2945.25,1.4690306730195315e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
106,2973.3,1.4829917743015148e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
107,3001.35,1.4969523164272441e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
108,3029.4,1.5109122994134923e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
109,3057.4500000000003,1.524871723277057e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
110,3085.5,1.538830588034715e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
111,3113.55,1.552788893703244e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
112,3141.6,1.5667466402994265e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
113,3169.65,1.5807038278400587e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
114,3197.7000000000003,1.5946604563419115e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
115,3225.75,1.6086165258217703e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
116,3253.8,1.622572036296414e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
117,3281.85,1.6365269877826217e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
118,3309.9,1.6504813802971632e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
119,3337.9500000000003,1.664435213856836e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
120,3366.0,1.6783884884784127e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
121,3394.05,1.6923412041786721e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
122,3422.1,1.7062933609743711e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
123,3450.15,1.7202449588823319e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
124,3478.2000000000003,1.7341959979193016e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
125,3506.25,1.7481464781020491e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
126,3534.3,1.7620963994473829e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
127,3562.35,1.776045761972047e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
128,3590.4,1.7899945656928305e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
129,3618.4500000000003,1.803942810626507e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
130,3646.5,1.8178904967898508e-06,1402187.8329780614,2804347.635020272,1.9999800091434317
